nome;cnpj;cep;endereco;telefone;tipoLocalizacao;_cnaePrincipal;_cnaeMatch;_uf;_municipio;_situacao;_razaoSocial
ANTONISMAR CAPPELLO DONABELA;14.106.196/0001-08;13720-000;SITIO SANTA TEREZA, nº S/N, ZONA RURAL - SAO JOSE DO RIO PARDO/SP;(19) 36085624;HARAS;0152102;0152102;SP;SAO JOSE DO RIO PARDO;02;ANTONISMAR CAPPELLO DONABELA
AMERICO RIBEIRO DOS SANTOS NETO;14.145.733/0001-29;13216-605;ESTRADA JUNDIAI - ITATIBA, KM 74 - PARQUE DA FAZENDA II, nº S/N, PARQUE DA FAZENDA - JUNDIAI/SP;(11) 55451999;HARAS;0152102;0152102;SP;JUNDIAI;02;AMERICO RIBEIRO DOS SANTOS NETO
NELSON ANTONIO BRAIDO;14.205.668/0001-80;13830-000;ESTRADA MUNICIPAL OSCAR PEREIRA DIAS, nº S/N, KM 01 ESTR JOAO DO PORTO, BARREIRO - SANTO ANTONIO DE POSSE/SP;(11) 42279512;HARAS;0152102;0152102;SP;SANTO ANTONIO DE POSSE;02;NELSON ANTONIO BRAIDO
ANTONIO CARLOS NELLI DUARTE;14.340.170/0001-20;18680-005;RODOVIA ESTANCIA NELLI DUARTE MARECHAL RONDON KM 306,, nº S/N, RODOVIA LENCOIS - LENCOIS PAULISTA/SP;(14) 32630457;HARAS;0152102;0152102;SP;LENCOIS PAULISTA;02;ANTONIO CARLOS NELLI DUARTE
SERGIO LUIZ DO CARMO;14.572.441/0001-72;13590-000;ESTRADA MUNICIPAL DOURADO A VILA SANTA CLARA, nº S/N, RURAL - DOURADO/SP;(18) 81146403;HARAS;0152102;0152102;SP;DOURADO;02;SERGIO LUIZ DO CARMO
VALERIA DOS ANJOS FERNANDES FOCHESATO E OUTRO;14.639.568/0001-61;13970-970;SITIO SAO PEDRO DA SERRA DOS COUTOS, nº S/N, DOS COUTOS - ITAPIRA/SP;(19) 38632858;HARAS;0152102;0152102;SP;ITAPIRA;02;VALERIA DOS ANJOS FERNANDES FOCHESATO E OUTRO
LINCOLN MALHEIRO JUNQUEIRA FIGUEIREDO;08.616.400/0002-19;19050-670;ESTRADA VELHA PRESIDENTE PRUDENTE/PIRAPOZINHO, KM 09, nº S/N, CXPST 3025, ZONA RURAL - PRESIDENTE PRUDENTE/SP;(18) 32292993;HARAS;0152102;0152102;SP;PRESIDENTE PRUDENTE;02;LINCOLN MALHEIRO JUNQUEIRA FIGUEIREDO
JOSE FRANCISCO SENE FRANCO;10.672.273/0002-17;18745-000;SITIO LARANJA AZEDA, nº SN, LARANJA AZEDA - CORONEL MACEDO/SP;(14) 96916670;HARAS;0152102;0152102;SP;CORONEL MACEDO;02;JOSE FRANCISCO SENE FRANCO
MAURICIO BATISTA RODRIGUES;15.197.145/0001-00;12213-800;RUA ANTONIO DE OLIVEIRA PINTO, nº 1400, FAZENDA LAMBARI, BUQUIRINHA - SAO JOSE DOS CAMPOS/SP;(12) 97617273;HARAS;0152102;0152102;SP;SAO JOSE DOS CAMPOS;02;MAURICIO BATISTA RODRIGUES
ALEX SALETA;15.223.098/0001-13;14805-185;AVENIDA LUIZ GONCALVES DA SILVA, nº 54, QUADRAD LOTE 12 RANCHO SALETA, PARQUE PLANALTO - ARARAQUARA/SP;(16) 33011996;HARAS;0152102;0152102;SP;ARARAQUARA;02;ALEX SALETA
WALDEMAR GONCALVES COSTA;15.344.959/0001-11;15600-001;ESTANCIA NARUA, nº S/N, KM 543, ZONA RURAL - FERNANDOPOLIS/SP;(17) 34422595;HARAS;0152102;0152102;SP;FERNANDOPOLIS;02;WALDEMAR GONCALVES COSTA
LUCIANA PINTO FACCAS GARCIA;15.387.825/0001-88;07600-000;ESTRADA DO MATO DENTRO 51, nº KM 02, ZONA RURAL - MAIRIPORA/SP;(11) 24847506;HARAS;0152102;0152102;SP;MAIRIPORA;02;LUCIANA PINTO FACCAS GARCIA
MARCOS APARECIDO SQUINCALHA;15.416.273/0001-99;15950-000;SITIO SANTA ROSA, nº SN, 4,9 HECTARES, MOREIRAS - SANTA ADELIA/SP;(17) 35718449;HARAS;0152102;0152102;SP;SANTA ADELIA;02;MARCOS APARECIDO SQUINCALHA
ALBERTO JORGE FERNANDEZ Y SAGARRA;08.275.998/0001-49;13260-000;ESTRADA MUNICIPAL DOMINGOS TROIANO, nº SN, KM 3 SITIO BOM RECANTO, BUENOPOLIS - MORUNGABA/SP;(11) 40141175;HARAS;0152102;0152102;SP;MORUNGABA;02;ALBERTO JORGE FERNANDEZ Y SAGARRA
LILIAN CRISTINA RIBEIRO TORMES;08.565.353/0001-40;06870-100;SITIO VILLA DOS CAVALLOS, nº S/N, POTUVERA - ITAPECERICA DA SERRA/SP;(11) 46664022;HARAS;0152102;0152102;SP;ITAPECERICA DA SERRA;02;LILIAN CRISTINA RIBEIRO TORMES
MARCO JOSE ANTONIO PAULI;08.616.345/0001-86;15996-110;AVENIDA DOMINGOS MARIANI, nº 820, JARDIM BRASIL - MATAO/SP;(16) 33821501;HARAS;0152102;0152102;SP;MATAO;02;MARCO JOSE ANTONIO PAULI
ASSOCIACAO AMIGOS DO CAVALO;08.939.059/0001-51;89990-000;VILA CAMPINAS, nº SN, PROPRIEDADE PAULO PA, SEDE - SAO LOURENCO DO OESTE/SC;(49) 33442365;CLUBE_HIPICO;9319199;9319199;SC;SAO LOURENCO DO OESTE;02;ASSOCIACAO AMIGOS DO CAVALO
GERSON JOSE DOS SANTOS;09.190.867/0001-21;13480-970;BLOCO PIRES DE BAIXO, nº 3370, SITIO SANT TEREZINHA, DOS PIRES - LIMEIRA/SP;(15) 32634186;HARAS;0152102;0152102;SP;LIMEIRA;02;GERSON JOSE DOS SANTOS
ANTONIO BENTO DE SOUZA;11.323.026/0001-97;15890-000;ESTÂNCIA HARAS B2JH, nº S/N, FAZENDA SAO DOMINGOS OU MORAIS - UCHOA/SP;(17) 97724966;HARAS;0152102;0152102;SP;UCHOA;02;ANTONIO BENTO DE SOUZA
MILTON BAPTISTA DE SOUZA FILHO;13.711.994/0001-04;18150-000;RUA BARUERI, nº 222, RECANTO DOUBLE HORSE, VOTORANTIM - IBIUNA/SP;(15) 82769306;HARAS;0152102;0152102;SP;IBIUNA;02;MILTON BAPTISTA DE SOUZA FILHO
F. M. P. AGROPECUARIA;15.037.941/0001-77;18700-970;ESTRADA DA ESCARAMUCA, nº S/N, RURAL - AVARE/SP;(11) 94909008;HARAS;0152102;0152102;SP;AVARE;02;F. M. P. AGROPECUARIA LTDA.
BRUNO HENRIQUE ROSA FERNANDES;15.732.222/0001-76;15410-000;FAZENDA MACACOS, nº S/N, MACACOS - CAJOBI/SP;(17) 35631258;HARAS;0152102;0152102;SP;CAJOBI;02;BRUNO HENRIQUE ROSA FERNANDES
ROBERTO ALVES DE OLIVEIRA E OUTROS;16.434.239/0001-00;13990-000;FAZENDA GUAIRACA, nº S/N, ZONA RURAL - ESPIRITO SANTO DO PINHAL/SP;(19) 36236644;HARAS;0152102;0152102;SP;ESPIRITO SANTO DO PINHAL;02;ROBERTO ALVES DE OLIVEIRA E OUTROS
JOSE ROBERTO APARECIDO MARINI E OUTRO;16.756.980/0001-97;13690-970;ESTRADA VICINAL GUILHERME SCATENA KM 01, nº SN, CHACARA SANTA ELIZA, RURAL - DESCALVADO/SP;(19) 35838035;HARAS;0152102;0152102;SP;DESCALVADO;02;JOSE ROBERTO APARECIDO MARINI E OUTRO
LUIS FERNANDO DE OLIVEIRA;16.814.658/0001-77;13834-899;SITIO SANTO ANTONIO DO BARREIRO, nº S/N, AREA RURAL DE SANTO ANTONIO DE POSSE - SANTO ANTONIO DE POSSE/SP;(19) 38670600;HARAS;0152102;0152102;SP;SANTO ANTONIO DE POSSE;02;LUIS FERNANDO DE OLIVEIRA
TR CENTRO DE TREINAMENTO EQUESTRE LTDA;16.836.324/0001-02;79004-540;RUA PADRE JOAO CRIPPA, nº 563, VILA CASTELO - CAMPO GRANDE/MS;(67) 33831713;CLUBE_HIPICO;9319101;9319101;MS;CAMPO GRANDE;02;TR CENTRO DE TREINAMENTO EQUESTRE LTDA
WILLIAM GOMES RIBEIRO E OUTRA;17.195.163/0001-70;14530-000;RODOVIA SEBASTIO BENTO DE FREITAS KM 4 - ESQUERDA, nº S/N, SITIO FARTURA, RURAL - MIGUELOPOLIS/SP;(16) 82273573;HARAS;0152102;0152102;SP;MIGUELOPOLIS;02;WILLIAM GOMES RIBEIRO E OUTRA
CRIATORIO MAFF;17.332.062/0001-01;72220-216;RUA QNN 20 CONJUNTO P, nº 54, CEILANDIA SUL (CEILANDIA) - BRASILIA/DF;(61) 30430043;HARAS;0152102;0152102;DF;BRASILIA;02;JM SERVICOS DE AGRONEGOCIOS LTDA
JOSE RIBEIRO DE MENDONCA E OUTRO;07.944.389/0009-20;14620-000;RODOVIA FRANCISCO MARCOS JUNQUEIRA NETTO - KM 03, nº S/N, SITIO SAO JOSE, ZONA RURAL - ORLANDIA/SP;(16) 38217777;HARAS;0152102;0152102;SP;ORLANDIA;02;JOSE RIBEIRO DE MENDONCA E OUTRO
ORIVALDO BONAFE;17.365.039/0001-05;16050-530;ESTRADA ARACATUBA A ARACANGUA 10 KM DA CIDADE, nº S/N, BAGUASSU - ARACATUBA/SP;(18) 36083999;HARAS;0152102;0152102;SP;ARACATUBA;02;ORIVALDO BONAFE
LUIZ ROBERTO FOSCHI;17.656.115/0001-31;13730-970;ESTRADA MUNICIPAL MOCOCA A IGARAI, nº S/N, SERRA DE STA MONICA CXPST 194, RURAL - MOCOCA/SP;(19) 36561611;HARAS;0152102;0152102;SP;MOCOCA;02;LUIZ ROBERTO FOSCHI
FERNANDO TARDIOLI LUCIO DE LIMA;17.753.557/0001-04;13910-001;SITIO SANTO ANTONIO, nº S/N, CAMANDUCAIA - JAGUARIUNA/SP;(11) 30711022;HARAS;0152102;0152102;SP;JAGUARIUNA;02;FERNANDO TARDIOLI LUCIO DE LIMA
ROBERTO JOSE DE OLIVEIRA;17.867.712/0001-05;15580-000;SITIO NOSSA SENHORA II IRMAOS, nº S/N, PADUA DINIZ - MIRA ESTRELA/SP;(17) 38461125;HARAS;0152102;0152102;SP;MIRA ESTRELA;02;ROBERTO JOSE DE OLIVEIRA
HARAS RIBEIRAO DOS ANJOS;18.075.665/0001-20;08900-000;RODOVIA PRESIDENTE DUTRA, nº S/N, KM 178, LAMBARI - GUARAREMA/SP;(11) 46932146;CLUBE_HIPICO;9319199;9319199;SP;GUARAREMA;02;RIBEIRAO DOS ANJOS HARAS PARK LTDA
HERLEY VILLARDI;08.231.921/0001-77;12850-000;SITIO HARAS SAO LUIZ GONZAGA, nº S/N, CASA, RURAL - BANANAL/SP;(12) 31161210;HARAS;0152102;0152102;SP;BANANAL;02;HERLEY VILLARDI
JOSE MARIO DE ANDRADE CIPRIANO;08.851.851/0001-50;12701-050;FAZENDA FAZENDA PEREQUE, nº S/N, ESTRADA ESTADUAL DR. AVELINO JUNIOR, PEREQUE - CRUZEIRO/SP;(12) 31442733;HARAS;0152102;0152102;SP;CRUZEIRO;02;JOSE MARIO DE ANDRADE CIPRIANO
CARLOS ROBERTO DE OLIVEIRA CAIANA;10.350.994/0001-20;12701-970;RECANTO RANCHO DO TUCUNARE, nº S/N, JARDIM PARAISO - CRUZEIRO/SP;(12) 31442354;HARAS;0152102;0152102;SP;CRUZEIRO;02;CARLOS ROBERTO DE OLIVEIRA CAIANA
PAULO LUIZ BIASINI;11.261.959/0001-05;13230-970;SÍTIO CORACAO A GALOPE, nº S/N, SOARES - CAMPO LIMPO PAULISTA/SP;(11) 40165704;HARAS;0152102;0152102;SP;CAMPO LIMPO PAULISTA;02;PAULO LUIZ BIASINI
SANDRO MARTINEZ CARDOZO;14.256.552/0001-70;18185-000;SITIO RANCHO DO LACO, nº SN, TURVO - PILAR DO SUL/SP;(15) 97472006;HARAS;0152102;0152102;SP;PILAR DO SUL;02;SANDRO MARTINEZ CARDOZO
JOAO BAPTISTA MATTOS PACHECO NETO;08.550.559/0002-88;13301-913;ESTRADA DE RODAGEM ITU - SALTO, nº SN, GLEBA 3 CAIXA POSTAL 33, CANJICA - ITU/SP;(11) 44039111;HARAS;0152102;0152102;SP;ITU;02;JOAO BAPTISTA MATTOS PACHECO NETO
CABANHA LUNAREJO;17.678.611/0001-96;95717-000;ESTRADA LINHA JANSEN, nº 870, LINHA JANSEN - PINTO BANDEIRA/RS;(54) 91769936;HARAS;0152102;0152102;RS;PINTO BANDEIRA;02;E.R.Z. CRIADERO LUNAREJO LTDA
GISLAINE VIEIRA HENNEMANN;18.413.250/0001-19;17160-000;RODOVIA CEZARIO JOSE DE CASTILHO, nº S/N, KM 357 CHACARA 38 DUQUE RANCH, LOT. CHAC. SANTA RITA - AREALVA/SP;(14) 97997344;HARAS;0152102;0152102;SP;AREALVA;02;GISLAINE VIEIRA HENNEMANN
PEDRO HENRIQUE PAVAN E OUTRO;18.559.532/0001-29;13830-000;SITIO SANTO ANTONIO DO BARREIRO, nº S/N, ZONA RURAL, CORREGO BONITO - SANTO ANTONIO DE POSSE/SP;(19) 78130502;HARAS;0152102;0152102;SP;SANTO ANTONIO DE POSSE;02;PEDRO HENRIQUE PAVAN E OUTRO
IVONE BERTI DE SOUZA VINAGRE E OUTROS;18.664.368/0001-10;14780-970;CHACARA CAMPO REDONDO-GLEBA B, nº S/N, ZONA RURAL - BARRETOS/SP;(17) 33231433;HARAS;0152102;0152102;SP;BARRETOS;02;IVONE BERTI DE SOUZA VINAGRE E OUTROS
MONTEMOR AGROPECUARIA LTDA;18.711.075/0001-46;36150-000;ESTRADA GOIANA/RIO NOVO, KM 18, nº S/N, ZONA RURAL - RIO NOVO/MG;(32) 32178263;HARAS;0152102;0152102;MG;RIO NOVO;02;MONTEMOR AGROPECUARIA LTDA
HIPICA PELAJO LTDA;18.674.355/0001-21;25976-810;ESTRADA ISAIAS VIDAL, nº 2500, CASA, ALBUQUERQUE - TERESOPOLIS/RJ;(21) 27422888;HOTEL_ANIMAL;0162803;0162803;RJ;TERESOPOLIS;02;HIPICA PELAJO LTDA
STAR HORSE AGROPECUARIA E COMERCIO LTDA;18.976.195/0001-75;06717-503;RUA PEDRO GROSSO, nº 60, QUINTA DOS ANGICOS - COTIA/SP;(11) 46142697;HARAS;0152102;0152102;SP;COTIA;02;STAR HORSE AGROPECUARIA E COMERCIO LTDA
JOSE GASQUES;08.143.639/0002-19;19570-000;ESTRADA BOIADEIRA, nº S/, DA MEMORIA - REGENTE FEIJO/SP;(18) 21011987;HARAS;0152102;0152102;SP;REGENTE FEIJO;02;JOSE GASQUES
DG DE MEDEIROS E MZ DE MEDEIROS - HARAS BOA SORTE;19.160.850/0001-85;14670-000;"ESTRADA MUNICIPAL SAO JOAQUIM DA BARRA A NUPORANGA KM 11, nº S/N, : HARAS BOA SORTE;, ZONA RURAL - NUPORANGA/SP";(16) 38180988;HARAS;0152102;0152102;SP;NUPORANGA;02;DG DE MEDEIROS E MZ DE MEDEIROS - HARAS BOA SORTE
PIQUETE CORACAO DE POTRO;19.295.918/0001-33;96300-000;RUA LIBERDADE, nº 31, CENTRO - JAGUARAO/RS;(53) 32611333;CLUBE;9312300;9312300;RS;JAGUARAO;02;PIQUETE CORACAO DE POTRO
PEDRO RAFAEL ALBERTI BARGAS E OUTRO;19.768.541/0001-92;13715-000;"SITIO SANTA CRISTINA, nº SN, : ESTRADA ITOBI A; : V GDE DO SUL A 12KM;, RURAL - ENTRADA A DIREITA - ITOBI/SP";(19) 36411233;HARAS;0152102;0152102;SP;ITOBI;02;PEDRO RAFAEL ALBERTI BARGAS E OUTRO
KATIA REGINA SCARANO DA SILVA;20.493.321/0001-82;12400-970;SITIO JACARANDA, nº SN, BOM SUCESSO - PINDAMONHANGABA/SP;(11) 70270388;HARAS;0152102;0152102;SP;PINDAMONHANGABA;02;KATIA REGINA SCARANO DA SILVA
JOSE RIBEIRO DE MENDONCA E OUTRO;07.944.389/0010-63;14500-000;"RODOVIA ANHANGUERA KM 406 ENTRADA A ESQUERDA, nº S/N, : FAZENDA POUSO ALTO;, ZONA RURAL - ITUVERAVA/SP";(16) 38217777;HARAS;0152102;0152102;SP;ITUVERAVA;02;JOSE RIBEIRO DE MENDONCA E OUTRO
CLAUDEMIR RIBEIRO;20.093.908/0001-02;13700-000;CHACARA NOSSA SENHORA APARECIDA, nº SN, ZONA RURAL - CASA BRANCA/SP;(19) 94864232;HARAS;0152102;0152102;SP;CASA BRANCA;02;CLAUDEMIR RIBEIRO
ADRIANA GOLLITSCH DAUNT;20.532.145/0001-40;13312-393;"SITIO RANCHO DAUNT - EST MUN PARA BAIRRO DA GLORIA, nº 5700, CASA: 02;, GLORIA - ITU/SP";(11) 40235565;HARAS;0152102;0152102;SP;ITU;02;ADRIANA GOLLITSCH DAUNT
ANDERSON MAITAN;07.973.733/0004-02;18700-970;FAZENDA CRUZEIRO, nº S/N, LAGEADO - AVARE/SP;(14) 33321919;HARAS;0152102;0152102;SP;AVARE;02;ANDERSON MAITAN
CARLOS GUSTAVO SERVILHA LOPES;20.674.986/0001-92;18270-970;SITIO CENTAURUS, nº S/N, LAGEADO - TATUI/SP;(15) 78359681;HARAS;0152102;0152102;SP;TATUI;02;CARLOS GUSTAVO SERVILHA LOPES
ALEXANDRE FRANCISCO CARDOSO;20.726.809/0001-02;13433-899;SITIO HARAS MUARES E MARCHADORES, nº SN, AREA RURAL DE PIRACICABA - PIRACICABA/SP;(19) 99450564;HARAS;0152102;0152102;SP;PIRACICABA;02;ALEXANDRE FRANCISCO CARDOSO
ANDREA GONCALVES AFFONSO;20.805.007/0001-98;13240-970;"ESTRADA ALBERTO TOFFANIN, nº S/N, LOTE: 51; : RANCHO APPALACHEE;, FAZENDA PRIMAVERA - JARINU/SP";(11) 45382595;HARAS;0152102;0152102;SP;JARINU;02;ANDREA GONCALVES AFFONSO
ELIANA HENKE CARRANO DA ROCHA LEAO;20.841.949/0001-21;13199-899;AREA RURAL DE MONTE MOR, nº SN, SITIO SANTO ANTONIO DO CAFEZAL, AREA RURAL DE MONTE MOR - MONTE MOR/SP;(19) 97714949;HARAS;0152102;0152102;SP;MONTE MOR;02;ELIANA HENKE CARRANO DA ROCHA LEAO
ALEXANDRE OLIVEIRA CECIN;08.833.191/0003-46;14784-343;CHACARA CHACARA FORTALEZA, nº SN, CAMPO REDONDO - BARRETOS/SP;(17) 33233599;HARAS;0152102;0152102;SP;BARRETOS;02;ALEXANDRE OLIVEIRA CECIN
PEDRO EULALIO DE GODOY TENDOLO;20.974.595/0001-93;19053-680;RODOVIA ASSIS CHATEAUBRIAND, nº S/N, VILA MARIA - PRESIDENTE PRUDENTE/SP;(18) 91029007;HARAS;0152102;0152102;SP;PRESIDENTE PRUDENTE;02;PEDRO EULALIO DE GODOY TENDOLO
J. P. DE SIQUEIRA EQUINOS;21.081.400/0001-49;12213-275;ESTRADA MUNICIPAL JUCA CARVALHO, nº 13333, VILA SAO GERALDO - SAO JOSE DOS CAMPOS/SP;(12) 39411895;HARAS;0152102;0152102;SP;SAO JOSE DOS CAMPOS;02;J. P. DE SIQUEIRA EQUINOS
DAVI FREITAS GARZELLA;21.195.586/0001-67;13710-000;"SITIO SANTO ANTONIO DO VALINHO, nº S/N, CASA;, RURAL - TAMBAU/SP";(19) 36739400;HARAS;0152102;0152102;SP;TAMBAU;02;DAVI FREITAS GARZELLA
ANDRE FLEURY AZEVEDO COSTA;21.259.419/0001-32;13720-000;SITIO HARAS DA PRATA, nº SN, ZONA RURAL - SAO JOSE DO RIO PARDO/SP;(19) 97176080;HARAS;0152102;0152102;SP;SAO JOSE DO RIO PARDO;02;ANDRE FLEURY AZEVEDO COSTA
CLUBE DO CAVALO DE TOCANTINS;21.423.893/0001-58;36512-000;RUA SUDARIO SOARES DE SOUZA LIMA, nº 80, GRAMA - TOCANTINS/MG;(32) 35743135;CLUBE;9312300;9312300;MG;TOCANTINS;02;CLUBE DO CAVALO DE TOCANTINS-MG
JOAO NADILO MOCIVUNA E OUTROS;12.336.332/0001-20;08900-000;RUA MARIA MANOELA DOS SANTOS NOGUEIRA MANOGRASSO, nº 273, BELLARD - GUARAREMA/SP;(11) 99999999;HARAS;0152102;0152102;SP;GUARAREMA;02;JOAO NADILO MOCIVUNA E OUTROS
DEBORAH SALGADO;22.011.499/0001-75;15550-000;"RODOVIA MIGUEL ELIAS JABUR, nº SN, KM: 36;, RURAL - AMERICO DE CAMPOS/SP";(17) 32222087;HARAS;0152102;0152102;SP;AMERICO DE CAMPOS;02;DEBORAH SALGADO
JOAO LUIZ CHIAPARINI;22.059.978/0001-61;15775-000;ESTANCIA CASTELAO, nº SN, COR DA CAB COMPRIDA - SANTA FE DO SUL/SP;(17) 36312063;HARAS;0152102;0152102;SP;SANTA FE DO SUL;02;JOAO LUIZ CHIAPARINI
ABQM;44.465.466/0002-19;05002-061;RUA DONA GERMAINE BURCHARD, nº 355, AGUA BRANCA - SAO PAULO/SP;(11) 38640800;CLUBE_HIPICO;9319199;9319199;SP;SAO PAULO;02;ASSOC BRASILEIRA DE CRIADORES DE CAVALO QUARTO DE MILHA
HIPICA VITORIA LTDA;22.257.937/0001-80;68790-000;VILA PUPUNHATEUA, nº 0, VILA TRAVESSAO - SANTA ISABEL DO PARA/PA;(91) 91984322;CENTRO_TREINAMENTO;8591100;8591100;PA;SANTA ISABEL DO PARA;02;HIPICA VITORIA LTDA
AGROPECUARIA INDIO BRANCO;22.734.683/0001-43;35450-015;RUA DOUTOR GUILHERME, nº 333, CENTRO - ITABIRITO/MG;(31) 35613115;HARAS;0152102;0152102;MG;ITABIRITO;02;AGROPECUARIA INDIO BRANCO LTDA
REGINA CELIA NUNES DOS SANTOS GONCALVES;08.031.459/0002-45;15450-000;RODOVIA BR 153 - KM 40, nº SN, FAZENDA AREIA BRANCA - ONDA VERDE/SP;(17) 32223522;HARAS;0152102;0152102;SP;ONDA VERDE;02;REGINA CELIA NUNES DOS SANTOS GONCALVES
LUCIANO NOGUEIRA AVILA;22.794.569/0001-09;19802-970;"CHACARA SHINAPS HANCH, nº S/N, : ZONA RURAL;, AGUA DO CERVO - ASSIS/SP";(15) 96812829;HARAS;0152102;0152102;SP;ASSIS;02;LUCIANO NOGUEIRA AVILA
RAIMUNDO ALVES DE FIGUEIREDO;22.916.180/0001-99;13170-970;ESTRADA MUNICIPAL BAIRRO DO CRUZEIRO, nº 1, CRUZEIRO - SUMARE/SP;(11) 84299163;HARAS;0152102;0152102;SP;SUMARE;02;RAIMUNDO ALVES DE FIGUEIREDO
ERALDO JOSE PEREIRA;22.942.903/0001-24;19880-000;CHACARA HARAS HORIZONTE, nº S/N, ZONA RURAL, AGUA DO MIRANDA - CANDIDO MOTA/SP;(18) 96059037;HARAS;0152102;0152102;SP;CANDIDO MOTA;02;ERALDO JOSE PEREIRA
ROBERTA GONCALVES;23.044.458/0001-48;12980-000;ESTRADA BAIRRO DO CORREGO DAS PEDRAS, nº S/N, CORREGO DAS PEDRAS - JOANOPOLIS/SP;(11) 45399247;HARAS;0152102;0152102;SP;JOANOPOLIS;02;ROBERTA GONCALVES
ANTONIO CARLOS DEFAVARI JUNIOR;23.144.455/0001-86;13390-000;SITIO SANTO ANTONIO, nº 00, BATISTADA - RIO DAS PEDRAS/SP;(19) 34931969;HARAS;0152102;0152102;SP;RIO DAS PEDRAS;02;ANTONIO CARLOS DEFAVARI JUNIOR
A PORTUGUESA HARAS LTDA;23.210.336/0001-84;79500-000;RUA ABEL RODRIGUES DE FREITAS, nº 02, SANTO ANTONIO - PARANAIBA/MS;(67) 36683331;HARAS;0152102;0152102;MS;PARANAIBA;02;A PORTUGUESA HARAS LTDA
NATALIA COBIANCHI DA COSTA PIRES;23.276.028/0001-51;19800-971;RUA AGUA DA CABIUNA, nº 1, KM 1 SITIO TAQUARAL, AGUA DA CABIUNA - ASSIS/SP;(18) 81727070;HARAS;0152102;0152102;SP;ASSIS;02;NATALIA COBIANCHI DA COSTA PIRES
LUIZ ALBERTO DE ARAUJO COSTA;23.301.498/0001-28;13233-405;VIA ITALIA, nº 251, LOTE 5 QUADRA A, CHACARA NOVA ESSEN - CAMPO LIMPO PAULISTA/SP;(11) 36750399;HARAS;0152102;0152102;SP;CAMPO LIMPO PAULISTA;02;LUIZ ALBERTO DE ARAUJO COSTA
SIDCLEI FARIA VELOSA;23.398.921/0001-50;15835-000;ESTRADA PINDORAMA AO DISTRITO DE ROBERTO, nº S/N, ZONA RURAL - PINDORAMA/SP;(17) 35235664;HARAS;0152102;0152102;SP;PINDORAMA;02;SIDCLEI FARIA VELOSA
CLAUDIO PEREIRA DA SILVA;23.470.534/0001-87;18550-000;ESTRADA EST MUN MARCILIO NOGUEIRA, nº S/N1, SITIO SANTO ANTONIO, AGUA SALGADA - BOITUVA/SP;(11) 73516138;HARAS;0152102;0152102;SP;BOITUVA;02;CLAUDIO PEREIRA DA SILVA
BENEDITO APARECIDO OLIVEIRA;23.552.928/0001-84;08900-000;RUA POA, nº 750, RANCHO ROSE PAR, JARDIM PARATEI - GUARAREMA/SP;(11) 42269108;HARAS;0152102;0152102;SP;GUARAREMA;02;BENEDITO APARECIDO OLIVEIRA
ALESSANDRA DA COSTA BARBUGLIO;23.658.675/0001-28;13331-400;ESTRADA JOAO CECCON, nº 2200, ALTOS DA BELA VISTA - INDAIATUBA/SP;(19) 91329397;HARAS;0152102;0152102;SP;INDAIATUBA;02;ALESSANDRA DA COSTA BARBUGLIO
FRANCISCO ALMIR BEZERRA;08.360.073/0002-87;17930-000;ESTANCIA NOSSA SENHORA DE FATIMA, nº SN, ZONA RURAL - TUPI PAULISTA/SP;(18) 96969220;HARAS;0152102;0152102;SP;TUPI PAULISTA;02;FRANCISCO ALMIR BEZERRA
MOISES ROBERTO BOUCHER ROCHA E OUTRA;23.757.697/0001-45;18549-899;SITIO RANCHO BOUCHER, nº S/N, AL DOS IPES 130 LOT FARM, CAJURU / CARVALHOS - PORTO FELIZ/SP;(15) 98010506;HARAS;0152102;0152102;SP;PORTO FELIZ;02;MOISES ROBERTO BOUCHER ROCHA E OUTRA
SITIO SIEL CAMARA;24.025.745/0001-73;61700-000;RUA A - TERRAS DO EUSEBIO, nº SN, BAIXA GRANDE - AQUIRAZ/CE;(85) 40080555;CENTRO_TREINAMENTO;8591100;8591100;CE;AQUIRAZ;02;CENTRO DE EQUITACAO SITIO SIEL CAMARA LTDA
TALITA GONCALVES DA SILVA VIEIRA;24.068.905/0001-61;18190-000;RUA JOANA RAMOS DE MOURA, nº 1000, JUNDIAQUARA - ARACOIABA DA SERRA/SP;(15) 96300894;HARAS;0152102;0152102;SP;ARACOIABA DA SERRA;02;TALITA GONCALVES DA SILVA VIEIRA
JOSE CARLOS GOMES DA SILVA;24.105.812/0001-60;16370-000;ESTANCIA 3 ANAS, nº -, LOTE, GONZAGA - PROMISSAO/SP;(14) 35410083;HARAS;0152102;0152102;SP;PROMISSAO;02;JOSE CARLOS GOMES DA SILVA
JOSE ANDRE BONK E OUTRO;24.191.407/0001-01;13480-970;CHACARA JATOBA, nº S/N, LOIOLAS - LIMEIRA/SP;(19) 97902073;HARAS;0152102;0152102;SP;LIMEIRA;02;JOSE ANDRE BONK E OUTRO
RAFAEL VICENSOTTO DE GIULI;24.328.162/0001-11;18540-000;SITIO HARAS RANCHO DAS AMERICAS, nº S/N, COLONIA RODRIGO SILVA - PORTO FELIZ/SP;(15) 91018552;HARAS;0152102;0152102;SP;PORTO FELIZ;02;RAFAEL VICENSOTTO DE GIULI
